"Time_Iter","Outer_Iter","Inner_Iter",     "rms[T]"     
          0,           0,         180,      -7.789267175
          0,           0,         181,      -7.791902222
          0,           0,         182,       -7.79452713
          0,           0,         183,      -7.797142013
          0,           0,         184,      -7.799746986
          0,           0,         185,      -7.802342161
          0,           0,         186,      -7.804927647
          0,           0,         187,      -7.807503553
          0,           0,         188,      -7.810069985
          0,           0,         189,      -7.812627049
          0,           0,         190,      -7.815174848
          0,           0,         191,      -7.817713483
          0,           0,         192,      -7.820243055
          0,           0,         193,      -7.822763663
          0,           0,         194,      -7.825275403
          0,           0,         195,      -7.827778372
          0,           0,         196,      -7.830272664
          0,           0,         197,      -7.832758372
          0,           0,         198,      -7.835235587
          0,           0,         199,        -7.8377044
          0,           0,         200,      -7.840164899
          0,           0,         201,      -7.842617174
          0,           0,         202,      -7.845061309
          0,           0,         203,      -7.847497391
          0,           0,         204,      -7.849925503
          0,           0,         205,      -7.852345728
          0,           0,         206,      -7.854758149
          0,           0,         207,      -7.857162846
          0,           0,         208,      -7.859559898
          0,           0,         209,      -7.861949384
          0,           0,         210,      -7.864331381
          0,           0,         211,      -7.866705966
          0,           0,         212,      -7.869073215
          0,           0,         213,      -7.871433201
          0,           0,         214,      -7.873785999
          0,           0,         215,       -7.87613168
          0,           0,         216,      -7.878470317
          0,           0,         217,      -7.880801981
          0,           0,         218,       -7.88312674
          0,           0,         219,      -7.885444664
          0,           0,         220,      -7.887755821
          0,           0,         221,      -7.890060278
          0,           0,         222,      -7.892358103
          0,           0,         223,      -7.894649359
          0,           0,         224,      -7.896934113
          0,           0,         225,      -7.899212428
          0,           0,         226,      -7.901484368
          0,           0,         227,      -7.903749995
          0,           0,         228,      -7.906009371
          0,           0,         229,      -7.908262557
          0,           0,         230,      -7.910509613
          0,           0,         231,        -7.9127506
          0,           0,         232,      -7.914985576
          0,           0,         233,      -7.917214599
          0,           0,         234,      -7.919437728
          0,           0,         235,      -7.921655018
          0,           0,         236,      -7.923866528
          0,           0,         237,      -7.926072311
          0,           0,         238,      -7.928272425
          0,           0,         239,      -7.930466922
          0,           0,         240,      -7.932655858
